"source_row_index","evaluation","raw_geometry_identity_sha256","production_geometry_fingerprint_sha256","gds_sha256","s4p_sha256","Lp_nH","Ls_nH","Qp","Qs","Qmin","K_abs","K_signed","conditional_strict","core_range","half_srf_pass","off_grid_vertices","noncanonical_edges","current_qualified","evidence_class"
24,"widthfix_000036__000036__shard_000__cb3286c50f08e509","cd18696714f137cfb3786717ab0674546557284d44f814f759f68412e37b1974","c4710648173551bdba946c9c706bce6ba7ce544963d2f8130cd007e080bb1bb5","4a6e44244a7caddfc239a8e3533ed64da240dd749eb71801b938f6ff6f1809af","0aa888e55d75cbe8411b1a18eaae716f90f7e88ed0e18602625528c44cacc892",1.6662585440915885,1.4689104857849786,14.072889058830823,15.435427197197932,14.072889058830823,0.39123646574169874,0.39123646574169874,false,true,false,282,12,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
25,"widthfix_000042__000042__shard_000__e382bffb1d10ac78","5530f2615c660bce9d61c166c166d22e85012f4ab54c4b18a3e99597722a45d7","8668e265bc2e365891ce974fd815f463dfa8478acb60b81071a169dedb38ff39","e1772ff8ff3bbbdfaa1651d04777f755dab1adfc14900bdd8529339d1ef8138f","ea11deaf3fd2d76817bd3e2fc5b19f0cc866f7b49fb4b565183a8f19a1cf73d4",1.5215943011222341,2.189418497757597,13.895211520059705,8.374832553650032,8.374832553650032,0.4160635193789105,0.4160635193789105,false,false,false,280,12,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
26,"widthfix_000043__000043__shard_000__e5a2626729668851","19241f12ec1bebfe7aca4a4a35a7896dd50b6e5114296f981f2044a1883c80fe","3e57f4a19c5e5c261414c962077825eab45e6a3ff9201c8d14140b0c49ba428b","4a6e44244a7caddfc239a8e3533ed64da240dd749eb71801b938f6ff6f1809af","9e48a9258acde5549c799f95f91765af05e5ffaa2a329448154935df8de140ee",1.9182628288450363,1.8458498557553702,13.269332257526374,11.721768118139096,11.721768118139096,0.4141040915628329,0.4141040915628329,false,true,false,278,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
27,"widthfix_000044__000044__shard_000__ead097a1e297105e","7a2a729c25a247079bbc5ec425fb86f3e62d6b91ce113647b6cf531faa846e26","2d2ea65cc5663f46bf00f83cee1cbdea0ab561b77cba90d85fff378349f8aa2f","e1772ff8ff3bbbdfaa1651d04777f755dab1adfc14900bdd8529339d1ef8138f","58a58311484beb018baf6bf959e1fd3928bb93fdad37739376177dd088855cc9",1.3915732647843615,1.5288192002670942,15.262668140971128,14.301363673246074,14.301363673246074,0.4757126362851632,0.4757126362851632,false,true,false,282,2,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
28,"widthfix_000045__000045__shard_000__eb5a5608b3bdb2e0","a6c3da5dbaa80d3ad083d054314f44ad07e1476ba268becee5becc113e859cfb","a598f521a3df72144fe6a98028c6faf6e0bfab7c03abe1d1770332b5d1f99448","2efd70c9800008d7aa067a0a25fdb82461cee16a8b6de11678bc7808368a9433","748faca81be626d6a06a3fa7732466342ec86f4719a7d7d28a2614b0580fe5d8",2.126556293920293,2.3982167364132545,9.663456614993981,8.584179158243812,8.584179158243812,0.6708040511864579,0.6708040511864579,false,false,false,278,4,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
29,"widthfix_000046__000046__shard_000__f905e1b59a9578ec","45d7b8809b54f6e94efbb8c90a6029034d3af8accf549abef2e5512963e90f56","42ba0aaae51143722f65bbca2e37d8a98b51637caf96893d6c84eb2583dab205","4a6e44244a7caddfc239a8e3533ed64da240dd749eb71801b938f6ff6f1809af","b13ac4fc2c3792295abaa4fb02a2c32ab413d5c58dc5a2cda548f4c306d903bc",1.9405404265567023,2.3613910476529054,11.50329481999156,9.362832638781,9.362832638781,0.41520007571128104,0.41520007571128104,false,false,false,282,6,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
30,"widthfix_000048__000048__shard_000__fdd26a514786d5e4","3c3520a17fa8a32b0d3bb9d2df05a806e5435545b85279af7597ff72207d1c2f","fa1073b7cec57b8f0d213d18dd97b19d6e6d31002ce9e9e215614501a7ebc047","e292b0beafd5e2fd726423cc048636508c4d33cb1f470e7fddd30b018ef34849","7522ee97499c423f4cdd25370bae1ad06638f6abaa3628d4eca2f31903206563",1.730548158592452,2.4209433687201782,10.970523683362469,8.362185587113046,8.362185587113046,0.5663077149278353,0.5663077149278353,false,false,false,220,2,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
31,"widthfix_000049__000049__shard_000__fef7204124dcc368","1711b8cca71ae2abcd35594acc883883d8d3f95b09fa59b81c761520dc89860e","900a63408ff256c058e3b95155d47faaf180f8927a8e09c2c2fc97d09c58d678","4a6e44244a7caddfc239a8e3533ed64da240dd749eb71801b938f6ff6f1809af","5bb1ff49cb7ca13f47bfd4bb89387988ed18e4eabc951e70bda0f3bc93a42be5",2.386674174127102,2.2368532472593996,10.451784001823151,11.42235190776131,10.451784001823151,0.42704488486425524,0.42704488486425524,false,false,false,282,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
32,"widthfix_000051__000051__shard_001__030854c966fb6c9a","a7faf56b4bd58010be0065200e4e79c3cb09dc344e3da5bbe3b586fe1379373f","ebfce988d267b79999714c9e9dae2e3eaad9d443e175bb1f40e4cff263eba886","a9716271d2edcb029c386554dd1fdffab37ca577bf108f526efbf97ab0942096","fb37169a2506c69dfdd1726468028fd676b47ea7e4eeba86d7bff1833fa12b3b",2.1262287744959987,1.9638097093661384,9.94745179005424,9.408664614460301,9.408664614460301,0.5076630630543167,0.5076630630543167,false,false,false,282,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
33,"widthfix_000052__000052__shard_001__086d655307623b06","bc54d05e90b22dffe37c9bd653923bfb3f5c9a0b7041ffe5a2bf5d5e096e9b2d","2d7df1857059350636aa24bff14e2a65c31883ec3a180f53f6726d0a497d1389","14381580bd8c8e26cc680b827cf421e2f64d0927d199a20b8d0bd45d560afa64","a64342eebf73933fa1934c7ab7d10512eef68fb18a52237dfb4b1335e9a03893",2.0934748487780284,1.9962121538275144,10.349386393165979,9.897584954897123,9.897584954897123,0.45122475335666345,0.45122475335666345,false,false,false,282,6,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
