feature,unit,N_original,N_strict,n_finite,score_span,evidence,ci_status,quantile_method,population,signed_error_definition,relative_error_denominator,mae,conditional_finite_mae,fixed_span_mae,rmse,conditional_finite_rmse,fixed_span_rmse,bias,conditional_finite_bias,fixed_span_bias,abs_error_p50_linear,conditional_finite_abs_error_p50_linear,fixed_span_abs_error_p50_linear,abs_error_p90_linear,conditional_finite_abs_error_p90_linear,fixed_span_abs_error_p90_linear,abs_error_p95_linear,conditional_finite_abs_error_p95_linear,fixed_span_abs_error_p95_linear,abs_error_p99_linear,conditional_finite_abs_error_p99_linear,fixed_span_abs_error_p99_linear,abs_error_max,conditional_finite_abs_error_max,fixed_span_abs_error_max,em_truth_relative_absolute_percent_mean,conditional_em_truth_relative_absolute_percent_mean,em_truth_relative_absolute_percent_n,em_truth_relative_absolute_percent_status_counts,regression_absolute_error_p95_higher
Lp_nH,nH,64,23,23,2.5,PRIOR_REAL_EM_EXTERNAL_DEVELOPMENT_DIAGNOSTIC,NOT_ESTIMATED,linear,ORIGINAL64_STRICT23_CONDITIONAL,evaluated_forward_prediction_minus_prior_actual_EM,absolute_prior_actual_EM_not_original_design_target,0.010147071035636574,0.010147071035636574,0.004058828414254629,0.014272895706222647,0.014272895706222647,0.005709158282489059,0.003873987124103024,0.003873987124103024,0.0015495948496412097,0.010706208455580013,0.010706208455580013,0.004282483382232005,0.026247712315998012,0.026247712315998012,0.010499084926399204,0.03260194131199034,0.03260194131199034,0.013040776524796136,0.03312033439646472,0.03312033439646472,0.013248133758585889,0.03313062362373276,0.03313062362373276,0.013252249449493103,1.1001054779901782,1.1001054779901782,23,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 23}",0.033083854408878066
Ls_nH,nH,64,23,23,2.5,PRIOR_REAL_EM_EXTERNAL_DEVELOPMENT_DIAGNOSTIC,NOT_ESTIMATED,linear,ORIGINAL64_STRICT23_CONDITIONAL,evaluated_forward_prediction_minus_prior_actual_EM,absolute_prior_actual_EM_not_original_design_target,0.006462533259928699,0.006462533259928699,0.0025850133039714797,0.00774241666180789,0.00774241666180789,0.003096966664723156,0.0023753943903870745,0.0023753943903870745,0.0009501577561548298,0.005444991943022615,0.005444991943022615,0.002177996777209046,0.01201530577741139,0.01201530577741139,0.004806122310964556,0.012870579949797154,0.012870579949797154,0.005148231979918862,0.017991535832699558,0.017991535832699558,0.007196614333079823,0.019411245282689116,0.019411245282689116,0.007764498113075646,0.6153194817260274,0.6153194817260274,23,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 23}",0.012958020510009272
Qmin,dimensionless,64,23,23,20.0,PRIOR_REAL_EM_EXTERNAL_DEVELOPMENT_DIAGNOSTIC,NOT_ESTIMATED,linear,ORIGINAL64_STRICT23_CONDITIONAL,evaluated_forward_prediction_minus_prior_actual_EM,absolute_prior_actual_EM_not_original_design_target,0.18574399654557222,0.18574399654557222,0.009287199827278611,0.2323364876731845,0.2323364876731845,0.011616824383659224,0.04472326955534247,0.04472326955534247,0.0022361634777671234,0.12480733494856011,0.12480733494856011,0.006240366747428006,0.38520959524072895,0.38520959524072895,0.01926047976203645,0.47703892257582925,0.47703892257582925,0.023851946128791462,0.49210036042773075,0.49210036042773075,0.024605018021386538,0.49365301382846916,0.49365301382846916,0.024682650691423457,1.442565245543673,1.442565245543673,23,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 23}",0.48659549837056737
K_abs,dimensionless,64,23,23,0.8,PRIOR_REAL_EM_EXTERNAL_DEVELOPMENT_DIAGNOSTIC,NOT_ESTIMATED,linear,ORIGINAL64_STRICT23_CONDITIONAL,evaluated_forward_prediction_minus_prior_actual_EM,absolute_prior_actual_EM_not_original_design_target,0.01135884811183699,0.01135884811183699,0.014198560139796238,0.014034312511400377,0.014034312511400377,0.01754289063925047,-0.0023252235112230586,-0.0023252235112230586,-0.002906529389028823,0.010036177499897991,0.010036177499897991,0.01254522187487249,0.021541204232113444,0.021541204232113444,0.026926505290141803,0.02175702618129528,0.02175702618129528,0.027196282726619097,0.030752545929793096,0.030752545929793096,0.03844068241224137,0.033286540949551524,0.033286540949551524,0.041608176186939405,3.1446614303823264,3.1446614303823264,23,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 23}",0.021768381768831335
