comparison,feature,unit,N_original,n_request_groups,score_span,validity,ci_status,n,mae,rmse,bias,abs_error_p50,abs_error_p90,abs_error_p95,abs_error_p99,abs_error_max,normalized_mae,normalized_rmse,normalized_bias,normalized_abs_error_p50,normalized_abs_error_p90,normalized_abs_error_p95,normalized_abs_error_p99,normalized_abs_error_max,normalization,target_relative_absolute_percent_mean,target_relative_absolute_percent_p50,target_relative_absolute_percent_p90,target_relative_absolute_percent_p95,target_relative_absolute_percent_p99,target_relative_absolute_percent_max,target_relative_absolute_percent_n,target_relative_percentage_status_counts
emx_minus_target,Lp_nH,nH,128,48,2.5,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.01622192313335513,0.03282660589352544,-0.008119498059915667,0.009540167148088419,0.03314985678416038,0.05251088920601214,0.13600934236963005,0.17962334369676913,0.006488769253342052,0.013130642357410178,-0.003247799223966267,0.0038160668592353677,0.013259942713664152,0.021004355682404857,0.05440373694785203,0.07184933747870766,"Absolute fixed span; dimensionless, not target-relative percentage",1.8637587139305738,0.849167374973219,5.132486190912201,7.114843708504558,15.610905640589635,20.553465868404867,48,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 48}"
emx_minus_target,Ls_nH,nH,128,48,2.5,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.01920009773923326,0.0362002335064935,-0.008835347419921728,0.00874326079972082,0.03856892679779799,0.092371142165324,0.13683457728400383,0.14577379363746157,0.007680039095693304,0.0144800934025974,-0.003534138967968691,0.003497304319888328,0.015427570719119196,0.0369484568661296,0.054733830913601525,0.058309517454984625,"Absolute fixed span; dimensionless, not target-relative percentage",2.16231059608656,0.809863425266699,5.506380722532192,9.697044749779138,14.599836175252346,16.618177849792115,48,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 48}"
emx_minus_target,Qmin,dimensionless,128,48,20.0,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.19075223598222424,0.3188079200261172,0.08563007381306775,0.10383900842257265,0.4338746325147534,0.7364077191994206,1.135438636476265,1.4107449606267881,0.009537611799111213,0.015940396001305857,0.004281503690653388,0.005191950421128633,0.02169373162573767,0.03682038595997103,0.05677193182381325,0.0705372480313394,"Absolute fixed span; dimensionless, not target-relative percentage",1.4506502711097955,0.8311096448092045,2.8466844037404804,5.664674763072466,9.213434914645756,11.756208005223234,48,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 48}"
emx_minus_target,K_abs,dimensionless,128,48,0.8,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.03237378851286821,0.07563241693546323,-0.026707281235069106,0.0073447416649773944,0.07564985907218992,0.21092888930289022,0.28983212277206016,0.316602511496609,0.04046723564108526,0.09454052116932904,-0.03338410154383638,0.009180927081221743,0.0945623238402374,0.2636611116286128,0.3622901534650752,0.39575313937076123,"Absolute fixed span; dimensionless, not target-relative percentage",5.193158104448127,2.223221613191477,11.159040925813203,27.771811862889255,38.11093816227301,40.887911698457536,48,"{""DIAGNOSTIC_ONLY_NOT_HIT_TOLERANCE"": 48}"
emx_minus_grid_proxy,Lp_nH,nH,128,48,2.5,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.005778947755363577,0.007676054389615033,-0.0013779354449591427,0.005020787496446744,0.012917834379947427,0.016662828953927712,0.019087678301187364,0.019811717340759816,0.002311579102145431,0.003070421755846013,-0.0005511741779836571,0.0020083149985786974,0.005167133751978971,0.006665131581571084,0.007635071320474945,0.007924686936303927,"Absolute fixed span; dimensionless, not target-relative percentage",,,,,,,,
emx_minus_grid_proxy,Ls_nH,nH,128,48,2.5,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.0069433583910929395,0.00882852154014117,-0.0009331453125685807,0.006272737851620358,0.012382437899640875,0.014024393722497877,0.02592800279071569,0.032349274683735496,0.0027773433564371756,0.0035314086160564678,-0.0003732581250274323,0.0025090951406481436,0.0049529751598563505,0.00560975748899915,0.010371201116286276,0.012939709873494198,"Absolute fixed span; dimensionless, not target-relative percentage",,,,,,,,
emx_minus_grid_proxy,Qmin,dimensionless,128,48,20.0,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.12395998333885998,0.15114539604265076,0.014595721828407923,0.12339865477318135,0.21749581607680113,0.3106216753301801,0.35342654569808873,0.3661196279631156,0.0061979991669429985,0.007557269802132538,0.0007297860914203962,0.0061699327386590674,0.010874790803840056,0.015531083766509005,0.017671327284904437,0.018305981398155778,"Absolute fixed span; dimensionless, not target-relative percentage",,,,,,,,
emx_minus_grid_proxy,K_abs,dimensionless,128,48,0.8,STRICT_VALID_ONLY,NOT_ESTIMATED,48,0.006496771628810734,0.007737085583719033,-0.0003261455889734411,0.006311547947692037,0.011590085852760803,0.014528138168461088,0.017162876675128034,0.01720908063447979,0.008120964536013417,0.009671356979648792,-0.0004076819862168014,0.007889434934615046,0.014487607315951005,0.01816017271057636,0.02145359584391004,0.021511350793099737,"Absolute fixed span; dimensionless, not target-relative percentage",,,,,,,,
