request_id,frequency_ghz,model_id,dataset_scope,q_proxy,q_emx,selection_loss,N_original,N_solved,N_strict_valid,N_invalid,N_joint_hit,N_independent_solves,N_unique_s4p_sha,N_accounted_candidates,N_analytic_fail,N_gds_fail,N_drc_fail,N_emx_not_solved,N_pending
f11_qscan-HELDOUT_TRIPLE_AUDIT-000002,11,f11-07165966aa39,FORMAL_10K,12,,,11,11,10,1,5,11,11,11,0,0,0,0,0
f12_qscan-HELDOUT_TRIPLE_AUDIT-000002,12,f12-bbbcad303b3e,FORMAL_10K,14,,,11,10,10,0,8,10,10,11,0,1,0,0,0
f13_qscan-HELDOUT_TRIPLE_AUDIT-000002,13,f13-940260e5c34c,FORMAL_10K,16,,,11,9,9,0,6,9,9,11,1,1,0,0,0
f14_qscan-HELDOUT_TRIPLE_AUDIT-000002,14,f14-734ef171b954,FORMAL_10K,12,,,11,10,10,0,5,10,10,11,0,1,0,0,0
f16_qscan-HELDOUT_TRIPLE_AUDIT-000002,16,f16-d1f0e127f1c7,FORMAL_10K,11,,,11,7,4,3,2,7,7,11,3,1,0,0,0
f17_qscan-HELDOUT_TRIPLE_AUDIT-000002,17,f17-7b878ff5d5dc,FORMAL_10K,15,,,11,9,8,1,6,9,9,11,2,0,0,0,0
f18_qscan-HELDOUT_TRIPLE_AUDIT-000002,18,f18-1a136fda6a2a,FORMAL_10K,15,,,11,8,8,0,6,8,8,11,2,1,0,0,0
f19_qscan-HELDOUT_TRIPLE_AUDIT-000002,19,f19-e02801471b97,FORMAL_10K,15,,,11,6,6,0,5,6,6,11,2,3,0,0,0
qscan15_development5k_20260908_v1-HELDOUT_TRIPLE_AUDIT-000003,15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,12,,,11,11,10,1,6,11,11,11,0,0,0,0,0
f05_qscan-HELDOUT_TRIPLE_AUDIT-000003,5,f5-fac1f3ff42e4,FORMAL_10K,11,,,11,6,6,0,1,6,6,11,0,2,3,0,0
f10_qscan-HELDOUT_TRIPLE_AUDIT-000003,10,f10-d26d41688df1,FORMAL_10K,12,11.0,0.004360431653541623,11,11,11,0,4,11,11,11,0,0,0,0,0
f20_qscan-HELDOUT_TRIPLE_AUDIT-000003,20,f20-4d6b0c6066ee,FORMAL_10K,14,,,11,9,4,5,2,9,9,11,2,0,0,0,0
f06_qscan-HELDOUT_TRIPLE_AUDIT-000003,6,f6-ba844c981dd6,FORMAL_10K,10,12.0,0.002146481596066446,11,11,11,0,5,11,11,11,0,0,0,0,0
f07_qscan-HELDOUT_TRIPLE_AUDIT-000003,7,f7-d0ffa9b31525,FORMAL_10K,11,,,11,9,9,0,4,9,9,11,0,0,2,0,0
f08_qscan-HELDOUT_TRIPLE_AUDIT-000003,8,f8-dc2e68a2a478,FORMAL_10K,14,,,11,5,5,0,4,5,5,11,3,3,0,0,0
f09_qscan-HELDOUT_TRIPLE_AUDIT-000003,9,f9-0cd8cd2dd857,FORMAL_10K,10,,,11,9,9,0,6,9,9,11,0,1,1,0,0
f11_qscan-HELDOUT_TRIPLE_AUDIT-000003,11,f11-07165966aa39,FORMAL_10K,11,,,11,10,10,0,7,10,10,11,0,1,0,0,0
f12_qscan-HELDOUT_TRIPLE_AUDIT-000003,12,f12-bbbcad303b3e,FORMAL_10K,14,,,11,9,9,0,6,9,9,11,1,1,0,0,0
f13_qscan-HELDOUT_TRIPLE_AUDIT-000003,13,f13-940260e5c34c,FORMAL_10K,15,,,11,9,9,0,7,9,9,11,1,1,0,0,0
f14_qscan-HELDOUT_TRIPLE_AUDIT-000003,14,f14-734ef171b954,FORMAL_10K,15,,,11,10,10,0,9,10,10,11,1,0,0,0,0
f16_qscan-HELDOUT_TRIPLE_AUDIT-000003,16,f16-d1f0e127f1c7,FORMAL_10K,16,,,11,11,10,1,8,11,11,11,0,0,0,0,0
f17_qscan-HELDOUT_TRIPLE_AUDIT-000003,17,f17-7b878ff5d5dc,FORMAL_10K,13,,,11,10,10,0,7,10,10,11,0,1,0,0,0
f18_qscan-HELDOUT_TRIPLE_AUDIT-000003,18,f18-1a136fda6a2a,FORMAL_10K,13,,,11,7,6,1,5,7,7,11,2,2,0,0,0
