frequency_ghz,model_id,dataset_scope,target_source,label_mode,protocol_sha256,N_planned_requests,N_accounted_requests,N_complete_strict11_requests,N_original,N_solved,N_strict_valid,N_invalid,N_analytic_fail,N_gds_fail,N_drc_fail,N_emx_not_solved,N_pending,N_joint_hit,N_independent_solves,N_unique_s4p_sha,N_accounted_candidates,joint_hit_fraction_original,joint_hit_fraction_accounted_original,confirmed_joint_hit_coverage_original,joint_hit_fraction_strict,joint_hit_original_ci_status,joint_hit_original_ci_low,joint_hit_original_ci_high,joint_hit_accounted_original_ci_status,joint_hit_accounted_original_ci_low,joint_hit_accounted_original_ci_high,joint_hit_strict_ci_status,joint_hit_strict_ci_low,joint_hit_strict_ci_high
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,0,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294
5,f5-fac1f3ff42e4,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,0,220,34,34,0,0,3,7,0,176,10,34,34,44,,0.22727272727272727,0.045454545454545456,0.29411764705882354,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.13636363636363635,0.2727272727272727,PROVISIONAL_SMALL_REQUEST_N,0.21428571428571427,0.35294117647058826
10,f10-d26d41688df1,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,1,220,38,38,0,0,5,1,0,176,19,38,38,44,,0.4318181818181818,0.08636363636363636,0.5,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.36363636363636365,0.5,PROVISIONAL_SMALL_REQUEST_N,0.4,0.6111111111111112
20,f20-4d6b0c6066ee,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,0,220,37,29,8,5,5,0,0,173,8,37,37,44,,0.18181818181818182,0.03636363636363636,0.27586206896551724,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.045454545454545456,0.3181818181818182,PROVISIONAL_SMALL_REQUEST_N,0.08,0.42857142857142855
6,f6-ba844c981dd6,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,1,220,35,35,0,0,3,6,0,176,18,35,35,44,,0.4090909090909091,0.08181818181818182,0.5142857142857142,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5,PROVISIONAL_SMALL_REQUEST_N,0.4166666666666667,0.6571428571428571
7,f7-d0ffa9b31525,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,0,220,35,35,0,0,4,5,0,176,17,35,35,44,,0.38636363636363635,0.07727272727272727,0.4857142857142857,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.36363636363636365,0.4318181818181818,PROVISIONAL_SMALL_REQUEST_N,0.4444444444444444,0.5333333333333333
8,f8-dc2e68a2a478,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,0,220,31,31,0,35,5,5,0,144,22,31,31,44,,0.5,0.1,0.7096774193548387,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.4090909090909091,0.5909090909090909,PROVISIONAL_SMALL_REQUEST_N,0.59375,0.8461538461538461
9,f9-0cd8cd2dd857,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,2,220,39,39,0,0,2,3,0,176,28,39,39,44,,0.6363636363636364,0.12727272727272726,0.717948717948718,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.5454545454545454,0.75,PROVISIONAL_SMALL_REQUEST_N,0.65,0.7894736842105263
11,f11-07165966aa39,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,0,220,39,37,2,0,5,0,0,176,21,39,39,44,,0.4772727272727273,0.09545454545454546,0.5675675675675675,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3409090909090909,0.5909090909090909,PROVISIONAL_SMALL_REQUEST_N,0.4444444444444444,0.6842105263157895
12,f12-bbbcad303b3e,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,0,220,39,39,0,3,4,0,0,174,26,39,39,44,,0.5909090909090909,0.11818181818181818,0.6666666666666666,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.5454545454545454,0.6818181818181818,PROVISIONAL_SMALL_REQUEST_N,0.6,0.75
