frequency_ghz,model_id,dataset_scope,target_source,label_mode,protocol_sha256,estimand,validity,comparison,feature,unit,n,mae,rmse,bias,abs_error_p50,abs_error_p90,abs_error_p95,ci_status,n_request_groups,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,bias_ci_low,bias_ci_high,abs_error_p50_ci_low,abs_error_p50_ci_high,abs_error_p90_ci_low,abs_error_p90_ci_high,abs_error_p95_ci_low,abs_error_p95_ci_high,N_original,N_solved,N_strict_valid,N_invalid,N_analytic_fail,N_gds_fail,N_drc_fail,N_emx_not_solved,N_pending,N_joint_hit,N_independent_solves,N_unique_s4p_sha,N_accounted_candidates,joint_hit_fraction_original,joint_hit_fraction_accounted_original,confirmed_joint_hit_coverage_original,joint_hit_fraction_strict,joint_hit_original_ci_status,joint_hit_original_ci_low,joint_hit_original_ci_high,joint_hit_accounted_original_ci_status,joint_hit_accounted_original_ci_low,joint_hit_accounted_original_ci_high,joint_hit_strict_ci_status,joint_hit_strict_ci_low,joint_hit_strict_ci_high,percentage_metric
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_target,Lp_nH,nH,32,0.048181504187762396,0.0953440845423901,0.02183725008624466,0.011079873220052217,0.19169937730179776,0.24392233231106095,PROVISIONAL_SMALL_REQUEST_N,4,0.009430512344123673,0.09209929494388629,0.012249381265137192,0.13864703815271545,-0.04149057849205165,0.07775189836871556,0.007479180019442477,0.04313083558979258,0.017030360146835122,0.26880556453472093,0.023472761499765356,0.3130000404054224,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_target,Ls_nH,nH,32,0.06385563993940971,0.09797387126268475,0.01629021252476077,0.029958773045594467,0.19852222554834476,0.21136004372456674,PROVISIONAL_SMALL_REQUEST_N,4,0.04586212081775701,0.0798083416174197,0.06867935942867556,0.1189246719692784,-0.05129883461535547,0.06935406619365556,0.021078237435568914,0.034979154529583334,0.11074777317132956,0.217315533360654,0.12833270372579014,0.2508010134872938,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_target,Qmin,dimensionless,32,0.7821860842852411,1.150136882712077,-0.45804554697203453,0.43291721045750453,1.8715642615929569,2.4834413043618775,PROVISIONAL_SMALL_REQUEST_N,4,0.729535128470726,0.8385354495566105,1.004435467059176,1.3686028082737565,-0.7047701933909724,-0.2105173347453233,0.16789830562996588,0.6671432253744403,1.7222873330816129,3.1455720702924768,1.8964437496781805,3.3817196223518113,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_target,K_abs,dimensionless,32,0.010171309202426015,0.014757219328066425,0.0019111532011818599,0.008077515208180563,0.023108424120587934,0.0271171273072481,PROVISIONAL_SMALL_REQUEST_N,4,0.008691879641090609,0.012073432924142966,0.010515635003320313,0.019933673663753922,-0.003906128158463524,0.009390514949297353,0.003491155545512964,0.008388995451459852,0.015436779350727403,0.04474519265873775,0.01581817107434776,0.05210044947960199,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_frozen_proxy,Lp_nH,nH,32,0.009881946474803185,0.012517436380638219,-0.006056041998430857,0.008476280211521359,0.015916594371343785,0.02417005689133543,PROVISIONAL_SMALL_REQUEST_N,4,0.007678467964461115,0.013102415066841596,0.008948124312670286,0.01639101345672586,-0.008756637559303676,-0.004459474691148265,0.007009401456467668,0.010605754501543219,0.013221381809055965,0.0338757430641512,0.013716845060200036,0.034552517122567794,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_frozen_proxy,Ls_nH,nH,32,0.005751468983609488,0.006910205350597929,0.00018464819205996769,0.004839347621620804,0.011261010162414375,0.012251182138329651,PROVISIONAL_SMALL_REQUEST_N,4,0.0040727446143304655,0.007845061018482577,0.0047285793181347955,0.008889558468664193,-0.0011589099094324025,0.002030471143899608,0.0037186276651725025,0.008058230398000576,0.00696852191623365,0.013193440803342282,0.007898589948515507,0.015667809549434697,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_frozen_proxy,Qmin,dimensionless,32,0.2654767089492251,0.38011296288676794,-0.028905277215717395,0.15321788162761507,0.7656877587479484,0.8959017032568343,PROVISIONAL_SMALL_REQUEST_N,4,0.1845393253860003,0.3423442767987836,0.26163892845027986,0.45649683141547825,-0.15277484181861006,0.05584758277573548,0.08093107580780057,0.24212347713147153,0.3616854810557708,0.9298502192925677,0.4690197534904578,0.9505825373908738,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,strict_valid,emx_minus_frozen_proxy,K_abs,dimensionless,32,0.009013729181981456,0.011899461868585783,-0.002989033627059978,0.007530428245557552,0.015466175321956922,0.026167052776848033,PROVISIONAL_SMALL_REQUEST_N,4,0.006394083836151437,0.011325180957713824,0.007795916902487116,0.014779938982029877,-0.005481209449392057,-9.125217247382689e-05,0.003969759072926515,0.010288009861447706,0.012656620371608931,0.026335478395538903,0.012928869263091634,0.032959960951727485,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,all_finite_diagnostic,emx_minus_target,Lp_nH,nH,36,0.057652493049954026,0.10141385361026863,0.009390786420135232,0.014020901073971137,0.19352244256892104,0.23487388422973007,PROVISIONAL_SMALL_REQUEST_N,4,0.009430512344123673,0.10079847578674961,0.012249381265137192,0.13911390723614378,-0.07174660207670473,0.07790663960768984,0.008099182760385792,0.0742262644255327,0.018669685295278748,0.26880556453472093,0.023472761499765356,0.3130000404054224,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,all_candidates,all_finite_diagnostic,emx_minus_target,Ls_nH,nH,36,0.07477639307628926,0.1105654939116795,0.03148197093904561,0.033474322392354816,0.21017981456528395,0.21673687941218445,PROVISIONAL_SMALL_REQUEST_N,4,0.0481832112360963,0.11289345198053127,0.07476157331666054,0.14322206109570823,-0.041971743673054354,0.10873668434952267,0.01825275983600272,0.13057256670553252,0.11074777317132956,0.21677545634208242,0.15714274799367844,0.2508010134872938,220,36,32,4,13,0,0,0,171,19,36,36,44,,0.4318181818181818,0.08636363636363636,0.59375,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3181818181818182,0.5227272727272727,PROVISIONAL_SMALL_REQUEST_N,0.5675675675675675,0.6176470588235294,NOT_PRIMARY; use physical units and frozen spans
