frequency_ghz,q,eligible_train_n,neighborhood_lower_inclusive,neighborhood_upper_exclusive,local_train_n,fraction_of_eligible_train,count_status,nominal_q_in_marginal_range,q_train_min,q_train_max,below_window_n,above_or_equal_window_n
14,18,4107,17.5,18.5,18,0.004382761139517896,COUNT_ONLY,True,9.178576747562788,18.70891860822065,6,0
14,19,4107,18.5,19.5,1,0.00024348672997321646,COUNT_ONLY,False,9.178576747562788,18.70891860822065,6,0
14,20,4107,19.5,20.5,0,0.0,EMPTY,False,9.178576747562788,18.70891860822065,6,0
15,10,3175,9.5,10.5,92,0.028976377952755906,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,11,3175,10.5,11.5,296,0.09322834645669291,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,12,3175,11.5,12.5,584,0.18393700787401573,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,13,3175,12.5,13.5,733,0.23086614173228345,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,14,3175,13.5,14.5,685,0.215748031496063,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,15,3175,14.5,15.5,452,0.14236220472440944,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,16,3175,15.5,16.5,218,0.06866141732283465,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,17,3175,16.5,17.5,92,0.028976377952755906,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,18,3175,17.5,18.5,17,0.005354330708661417,COUNT_ONLY,True,9.449956523904012,18.769211533120213,2,0
15,19,3175,18.5,19.5,4,0.0012598425196850393,COUNT_ONLY,False,9.449956523904012,18.769211533120213,2,0
15,20,3175,19.5,20.5,0,0.0,EMPTY,False,9.449956523904012,18.769211533120213,2,0
16,10,2225,9.5,10.5,28,0.012584269662921348,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,11,2225,10.5,11.5,163,0.07325842696629213,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,12,2225,11.5,12.5,368,0.16539325842696628,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,13,2225,12.5,13.5,508,0.22831460674157303,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,14,2225,13.5,14.5,504,0.22651685393258428,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,15,2225,14.5,15.5,345,0.1550561797752809,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,16,2225,15.5,16.5,209,0.09393258426966292,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,17,2225,16.5,17.5,75,0.033707865168539325,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,18,2225,17.5,18.5,17,0.007640449438202248,COUNT_ONLY,True,9.670060750957202,18.94373868777894,0,0
16,19,2225,18.5,19.5,8,0.0035955056179775282,COUNT_ONLY,False,9.670060750957202,18.94373868777894,0,0
16,20,2225,19.5,20.5,0,0.0,EMPTY,False,9.670060750957202,18.94373868777894,0,0
17,10,1420,9.5,10.5,4,0.0028169014084507044,COUNT_ONLY,False,10.089848901155069,19.18918654343283,0,0
