source_row_index,evaluation,raw_geometry_identity_sha256,production_geometry_fingerprint_sha256,gds_sha256,lp_nh,ls_nh,qp,qs,qmin,k_abs,signed_k,conditional_strict,core_range,q10_to20,necessary_grid_edges_pass,current_qualification,reuse_class
97623,000056__shard_000__e5fccfed2cc89d20,f76b4179758b902e7c0fab7905d2ef3e3a04ecb5b5ca0fd5940d3de4015ed92f,6caa360c59d9a3a519d1ea2e7a69db561c95773c5d00b50270f653349a21b743,84f4e43030abb5802855eba24993c219b7bcf962f67bf7af662447ef47a33483,1.1401790115751231,1.045203516916886,18.000886985236196,17.711240565499633,17.711240565499633,0.20474754474510298,0.20474754474510298,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97624,000057__shard_000__e601d12b0ecd460d,f3201da256a443113228f6c56f6c8b90252b927d90459e3fd88d771b31f189a5,c07c2343f9e499ba3012e12b75315560e32d41963eeaea1ca0684d6a4098a7b5,184f2044e2413ab1b01ed08e64993bf2a6276ad47bfd7e8a9d3d3e890ea4bac8,1.1377417310315474,1.0183420625231692,17.996887324854505,18.063044257909652,17.996887324854505,0.20115000881759465,0.20115000881759465,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97625,000058__shard_000__e86ed63e1bac9e9b,9d831ca13bca5e416cbdac946e8b4d52886526c61c15a0d4bb46906f7d1754a5,4a4b925533ca60585080f966ad108ddf06f61e513993fc64a562142091e1ef24,f6afde09d184e9a3aa63e1c8abd0fce186e449c3f6bf13c46db7f0efbcc04d46,1.1298729839999826,1.0216628005586754,18.076398636234618,18.008873401036,18.008873401036,0.2034664900690624,0.2034664900690624,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97626,000059__shard_000__eeb4fd90ebb03546,c603c0399c9c43e5778b834cedca84886d0f835293288bcf4af8a23876cc7a3c,2369042360b60f72c9b0b91464f5b33e573aab937a9d5dd8fd84233c238e201a,72d85ef030d1156d80cd2c3fe1468d1cebcfdf72adf3bd87a6c593e10ea67e6b,1.1298552508358866,1.0389536391216272,18.078120507496138,17.75822965148958,17.75822965148958,0.20507500824920602,0.20507500824920602,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97627,000060__shard_000__eef40a4c9480e949,1e561489b6afce4b19cd5d356710409f76a4612a11aa65358b756483a57fd230,c0c33e1c54885cea660dfe3dcba8f082a2cd60e88c1a50e0af79dc92431819d2,861d4139ee9fa347823db122805a9ad5289e54f22ea22394a4fe34a9a6f58fdc,1.144433675857347,1.0153703180730913,17.768793273948162,18.02149949426836,17.768793273948162,0.2029922106695961,0.2029922106695961,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97628,000061__shard_000__f29106071bb32f8c,08e0c676ea4f9639b384ca348336f6d3fd3e4be367d9b756e337c9fd5e5229f7,a8c7d1547302126e6223e9796f1c964f8c69a7a5ce3ec2ed1f268698675f29b0,2dd2505b308a276e307d8126b0dfc7c663705857befb8851468877b589a83eb0,1.1171062927092492,1.0239340389459768,17.962520776634122,18.05932900809401,17.962520776634122,0.20173271852510796,0.20173271852510796,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97629,000062__shard_000__f693a1b596d4cf90,cbd51f3b98d453de440c6aef5099d29b869e1cbcb490c0fd92b2cca8d49ad275,b127d49cb18a75b231f256686c84812775e0f0df28229ce4e007fc9af1d76e23,4efbe8f28ed51e00c2ea5c4e2fe4bd21e5f12bdb92bfd91f9902cfbc1aa9cf78,1.124900269831347,1.005240630464141,18.097021453418797,18.099264737734934,18.097021453418797,0.20247117188061772,0.20247117188061772,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97630,000063__shard_000__f75b31610d0b91b3,10d1b0b9719dc711aacf8be538f57df6f55bb1c5cba0dd040b64349071814191,d65a371af0d358f326208cbd59c46013ba7e4f3267bae4dc4c04cd48f573d242,2f0f658904e8ef32405c367bbc37b0628705c618dcc8b7b3e6a0a8c4fae277a4,1.1503595957479194,1.0167518155233761,17.905830603111372,18.165017793618684,17.905830603111372,0.20496817176119542,0.20496817176119542,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97631,000064__shard_001__00fa34cc8238a05d,f23f83e30bae1b92b3d42f635d0b4f728e731625485448c96d3502c5fe649648,37922a5177a5593f0cd0a02a746e5c76e11f351a7d5981b0a7cf7a4989851f16,e3b7b7a89e24fb42bacc1f3077a9473df2223c7974eb951952c5266e94f070e5,1.1253747462092014,1.0276081316691348,18.078497872845315,17.95908695464557,17.95908695464557,0.20493154069082176,0.20493154069082176,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97632,000065__shard_001__01b4d8379b0cd77a,9e97b50a3face8d1b471488845d67f84be49abc46a7471c96780e8879673de44,340fb73ef08493db0806d7fd423864ab46ef2ff0be4cb0933a3903f632df0e49,e5828c8b36577832e98464449ca3d68ef24fdf9a1e2aaaf87800862012a0aa6e,1.1282512075312219,1.0125787110832933,18.069954582321195,17.951981498883182,17.951981498883182,0.2036604019896504,0.2036604019896504,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
