request_id,source,seed,original_split,geometry_sha256,Lp_nH,Ls_nH,Qmin,K_abs,strict,core,formal_sequence,eligible_train,failure_reasons
eucap15_production_doe_neighborhood_20260912_v1-GEOMETRY_DOE-008,GEOMETRY_DOE,2026091201,test,77e56dbad7a25a85efbced82837395f1730857c2bdf9e6ee6c7a9f2d3e7b6a53,1.229379682370181,1.1447682095560467,14.164406085710196,0.3382591841696943,True,True,2021,False,
eucap15_production_doe_neighborhood_20260912_v1-GEOMETRY_DOE-009,GEOMETRY_DOE,2026091201,train,9f5f1a1987ea8d8285045d9069d153a5f65c7d90baae929d9c668d9b1245d3d8,0.8591760818135185,1.950799183986742,8.440085303339856,0.16490759848741865,False,False,,False,BELOW_HALF_SRF_FALSE;K_OUT_OF_RANGE
eucap15_production_doe_neighborhood_20260912_v1-TRAIN_NEIGHBORHOOD-002,TRAIN_NEIGHBORHOOD,2026091202,validation,39abe71fab401819e2cf790cf3ef704179246d1bdee052062000cbd3fe1b78c1,1.4384649788404587,1.4713782437654415,12.973338122740184,0.424168631526098,True,True,4250,False,
