request_id,frequency_ghz,model_id,dataset_scope,q_proxy,q_emx,selection_loss,N_original,N_solved,N_strict_valid,N_invalid,N_joint_hit,N_independent_solves,N_unique_s4p_sha,N_accounted_candidates,N_analytic_fail,N_gds_fail,N_drc_fail,N_emx_not_solved,N_pending
f06_qscan-HELDOUT_TRIPLE_AUDIT-000001,6,f6-ba844c981dd6,FORMAL_10K,10,,,11,10,10,0,4,10,10,11,0,1,0,0,0
f07_qscan-HELDOUT_TRIPLE_AUDIT-000001,7,f7-d0ffa9b31525,FORMAL_10K,11,,,11,10,10,0,5,10,10,11,0,0,1,0,0
f08_qscan-HELDOUT_TRIPLE_AUDIT-000001,8,f8-dc2e68a2a478,FORMAL_10K,12,,,11,8,8,0,7,8,8,11,0,1,2,0,0
f09_qscan-HELDOUT_TRIPLE_AUDIT-000001,9,f9-0cd8cd2dd857,FORMAL_10K,11,11.0,0.0,11,11,11,0,7,11,11,11,0,0,0,0,0
f11_qscan-HELDOUT_TRIPLE_AUDIT-000001,11,f11-07165966aa39,FORMAL_10K,11,,,11,9,8,1,3,9,9,11,0,2,0,0,0
f12_qscan-HELDOUT_TRIPLE_AUDIT-000001,12,f12-bbbcad303b3e,FORMAL_10K,13,,,11,10,10,0,6,10,10,11,0,1,0,0,0
f13_qscan-HELDOUT_TRIPLE_AUDIT-000001,13,f13-940260e5c34c,FORMAL_10K,13,,,11,7,7,0,4,7,7,11,0,4,0,0,0
f14_qscan-HELDOUT_TRIPLE_AUDIT-000001,14,f14-734ef171b954,FORMAL_10K,16,14.0,0.003159679249955162,11,11,11,0,6,11,11,11,0,0,0,0,0
