candidate_id,request_id,arm,source,global_order,arm_order,split,state,actual_native_start_confirmed,solver_start_order,solver_started_utc,cadence_elapsed_seconds,cadence_active_worker_elapsed_seconds_sum,gds_audit_elapsed_seconds,calibre_elapsed_seconds,emx_native_wallclock_seconds,emx_reported_cpu_seconds,solver_wrapper_interval_seconds,user_cpu_seconds,system_cpu_seconds,candidate_allocated_bytes,full_pipeline_total_seconds
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-008,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-008,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,36,18,test,STRICT_VALID,True,22,2026-09-11T10:24:41.750000+00:00,6.399634304922074,6.392774079926312,,,89.44,181.31,90.024018,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-026,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-026,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,37,19,train,EMX_INVALID,True,23,2026-09-11T10:30:36.880000+00:00,10.229074717033654,10.21839896729216,,,97.02,195.34,97.600467,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-006-q10,eucap15_controlled_budget_20260910_v1-SPARSE-006,COVERAGE_DIRECTED,SPARSE_TARGETED,38,19,validation,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-EXPLORATION-004,eucap15_controlled_budget_20260910_v1-EXPLORATION-004,COVERAGE_DIRECTED,EXPLORATION,39,20,validation,EMX_INVALID,True,24,2026-09-11T10:36:38.290000+00:00,7.79551269300282,7.788955837953836,,,94.28,190.69,97.11002,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-025,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-025,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,40,20,validation,EMX_INVALID,True,25,2026-09-11T10:42:35.220000+00:00,6.914384211879224,6.908320256974548,,,75.84,152.69,76.436678,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-001-q12,eucap15_controlled_budget_20260910_v1-SPARSE-001,COVERAGE_DIRECTED,SPARSE_TARGETED,41,21,test,EMX_INVALID,True,26,2026-09-11T10:48:09.010000+00:00,5.8874975042417645,5.881307274103165,,,61.52,124.58,62.072463,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-027,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-027,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,42,21,train,STRICT_VALID,True,27,2026-09-11T10:53:28.540000+00:00,6.024464588146657,6.01873975340277,,,74.01,148.86,74.598855,,,,
eucap15_controlled_budget_20260910_v1-EXPLORATION-002,eucap15_controlled_budget_20260910_v1-EXPLORATION-002,COVERAGE_DIRECTED,EXPLORATION,43,22,train,EMX_INVALID,True,28,2026-09-11T10:59:02.550000+00:00,6.956383881159127,6.950568822212517,,,69.25,139.66,69.822744,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-017,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-017,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,44,22,test,STRICT_VALID,True,29,2026-09-11T11:04:29.620000+00:00,5.8287336328066885,5.823021878954023,,,54.36,108.69,54.95409,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-006,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-006,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,45,23,train,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-014-q13,eucap15_controlled_budget_20260910_v1-SPARSE-014,COVERAGE_DIRECTED,SPARSE_TARGETED,46,23,train,PRE_NATIVE_FAILURE_UNCLASSIFIED,False,,,5.825615795794874,5.820194504223764,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-023,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-023,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,47,24,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-EXPLORATION-005,eucap15_controlled_budget_20260910_v1-EXPLORATION-005,COVERAGE_DIRECTED,EXPLORATION,48,24,train,STRICT_VALID,True,30,2026-09-11T11:10:51.870000+00:00,5.6969983000308275,5.690489000175148,,,58.46,116.57,59.143799,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-000-q14,eucap15_controlled_budget_20260910_v1-SPARSE-000,COVERAGE_DIRECTED,SPARSE_TARGETED,49,25,test,EMX_INVALID,True,31,2026-09-11T11:16:08.970000+00:00,5.933779885061085,5.928502219263464,,,49.85,99.17,50.420953,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-012,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-012,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,50,25,test,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-019-q12,eucap15_controlled_budget_20260910_v1-SPARSE-019,COVERAGE_DIRECTED,SPARSE_TARGETED,51,26,train,EMX_INVALID,True,32,2026-09-11T11:21:17.650000+00:00,5.993044934235513,5.987885062582791,,,65.03,132.08,65.751964,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-003,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-003,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,52,26,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-012-q13,eucap15_controlled_budget_20260910_v1-SPARSE-012,COVERAGE_DIRECTED,SPARSE_TARGETED,53,27,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-018,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-018,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,54,27,test,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-EXPLORATION-001,eucap15_controlled_budget_20260910_v1-EXPLORATION-001,COVERAGE_DIRECTED,EXPLORATION,55,28,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-000,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-000,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,56,28,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-022-q12,eucap15_controlled_budget_20260910_v1-SPARSE-022,COVERAGE_DIRECTED,SPARSE_TARGETED,57,29,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-011,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-011,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,58,29,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-EXPLORATION-006,eucap15_controlled_budget_20260910_v1-EXPLORATION-006,COVERAGE_DIRECTED,EXPLORATION,59,30,test,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-024,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-024,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,60,30,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-007-q13,eucap15_controlled_budget_20260910_v1-SPARSE-007,COVERAGE_DIRECTED,SPARSE_TARGETED,61,31,test,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-010,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-010,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,62,31,train,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-008-q10,eucap15_controlled_budget_20260910_v1-SPARSE-008,COVERAGE_DIRECTED,SPARSE_TARGETED,63,32,train,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-020,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-020,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,64,32,validation,BUDGET_NOT_DISPATCHED,False,,,,,,,,,,,,,
