panel,feature,unit,N_original,n,mae,rmse,bias,abs_error_p50,abs_error_p90,abs_error_p95,abs_error_p99,abs_error_max,normalized_mae,target_relative_absolute_percent_mean,percentage_n,ci_status,evidence
VALIDATION_FIXED4,Lp_nH,nH,1269,1269,0.024266868694645175,0.03075018352870605,0.0014491434811765495,0.02040687548354181,0.04974451075898321,0.05862790102534882,0.07814275781924578,0.15217486669426827,0.00970674747785807,2.087887938632702,1269,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
VALIDATION_FIXED4,Ls_nH,nH,1269,1269,0.02454604471074423,0.031078288350749297,0.001170145077115392,0.021151355079588763,0.049529652612574894,0.062108093596364544,0.08557647437773366,0.14141339110592166,0.009818417884297692,2.1414616129486443,1269,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
VALIDATION_FIXED4,Qmin,dimensionless,1269,1269,0.2038519065030034,0.2585855944924547,-0.0033475114743325217,0.16769737489807213,0.4032873725368568,0.5005341126621403,0.7434519315041977,1.0454634590466885,0.01019259532515017,1.5092419155800956,1269,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
VALIDATION_FIXED4,K_abs,dimensionless,1269,1269,0.00797798831177299,0.010209111169358309,-0.0004816439262498377,0.006536201737138259,0.015923510179325275,0.019662712012933813,0.028530662946951835,0.047739241918936026,0.009972485389716236,2.8618279470228534,1269,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_FIXED_Q15,Lp_nH,nH,128,128,0.19757831890599303,0.2682129363415456,-0.08873790401302172,0.1450094458582486,0.4190453045967962,0.5935952016851432,0.7201608985342112,0.7436349500191248,0.07903132756239721,17.2254113420109,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_FIXED_Q15,Ls_nH,nH,128,128,0.1769967732609452,0.22574939660309995,-0.050864797189004024,0.15065386800609637,0.359874032776655,0.440095433095656,0.5602164070023662,0.727965357917331,0.07079870930437808,16.841629901782373,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_FIXED_Q15,Qmin,dimensionless,128,128,1.3394720027001916,1.62895878918542,-1.2927193324498862,1.5093266333512005,2.439764243924847,2.9756616618777336,3.3401932975071507,3.3401932975071507,0.06697360013500958,8.929813351334612,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_FIXED_Q15,K_abs,dimensionless,128,128,0.07715848336951366,0.11141116589160757,-0.07416537128093073,0.04461407192394323,0.21626303619171522,0.23622884283263754,0.27742521835263,0.2856294359743783,0.09644810421189207,12.75747741110944,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_RETRIEVAL_QSCAN,Lp_nH,nH,128,128,0.16205934114073237,0.23775231668812274,-0.050356471730543126,0.10547788176227635,0.39314483140304585,0.5351676095982774,0.7201608985342112,0.7436349500191248,0.06482373645629294,15.263062674930625,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_RETRIEVAL_QSCAN,Ls_nH,nH,128,128,0.15725809329440393,0.21904416174319685,-0.02932403409690082,0.11072847262248336,0.39384983584160477,0.440095433095656,0.5602164070023662,0.727965357917331,0.06290323731776157,15.85125930941164,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_RETRIEVAL_QSCAN,Qmin,dimensionless,128,128,0.2046311689470176,0.24389363643888537,0.05078163592312131,0.20192164987327565,0.37675195477442075,0.40304106184311533,0.45688868800038,0.49215250236842323,0.01023155844735088,1.6397153436879879,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
DEVELOPMENT128_RETRIEVAL_QSCAN,K_abs,dimensionless,128,128,0.07519238688823071,0.11133342016903974,-0.07147813774496262,0.03759212306391266,0.2162567795499503,0.23622884283263754,0.27742521835263,0.2856294359743783,0.09399048361028839,12.051260900821172,128,NOT_ESTIMATED,STORED_TRAIN_LIBRARY_RESPONSE_NOT_NEURAL_PROXY_OR_FRESH_EMX
