grid_n,split,frequency_hz,lp_bin,ls_bin,k_bin,empty_all_q,unobserved_is_not_proven_unreachable,lp_low_nh,lp_high_nh,ls_low_nh,ls_high_nh,k_low,k_high,N_strict_core_all_q,N_strict_core_q10_20,N_q_below10,N_q10_12,N_q12_14,N_q14_16,N_q16_18,N_q18_20,N_q_above20
8,train,15000000000,0,4,7,True,True,0.5,0.6875,1.25,1.4375,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,0,True,True,0.5,0.6875,1.4375,1.625,0.2,0.28125,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,1,True,True,0.5,0.6875,1.4375,1.625,0.28125,0.3625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,2,True,True,0.5,0.6875,1.4375,1.625,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,3,True,True,0.5,0.6875,1.4375,1.625,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,4,True,True,0.5,0.6875,1.4375,1.625,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,5,True,True,0.5,0.6875,1.4375,1.625,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,6,True,True,0.5,0.6875,1.4375,1.625,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,5,7,True,True,0.5,0.6875,1.4375,1.625,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,0,True,True,0.5,0.6875,1.625,1.8125,0.2,0.28125,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,1,True,True,0.5,0.6875,1.625,1.8125,0.28125,0.3625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,2,True,True,0.5,0.6875,1.625,1.8125,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,3,True,True,0.5,0.6875,1.625,1.8125,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,4,True,True,0.5,0.6875,1.625,1.8125,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,5,True,True,0.5,0.6875,1.625,1.8125,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,6,True,True,0.5,0.6875,1.625,1.8125,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,6,7,True,True,0.5,0.6875,1.625,1.8125,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,0,True,True,0.5,0.6875,1.8125,2.0,0.2,0.28125,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,1,True,True,0.5,0.6875,1.8125,2.0,0.28125,0.3625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,2,True,True,0.5,0.6875,1.8125,2.0,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,3,True,True,0.5,0.6875,1.8125,2.0,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,4,True,True,0.5,0.6875,1.8125,2.0,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,5,True,True,0.5,0.6875,1.8125,2.0,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,6,True,True,0.5,0.6875,1.8125,2.0,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,0,7,7,True,True,0.5,0.6875,1.8125,2.0,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,0,0,False,True,0.6875,0.875,0.5,0.6875,0.2,0.28125,5,5,0,0,0,4,1,0,0
8,train,15000000000,1,0,1,False,True,0.6875,0.875,0.5,0.6875,0.28125,0.3625,2,2,0,0,0,1,1,0,0
8,train,15000000000,1,0,2,False,True,0.6875,0.875,0.5,0.6875,0.3625,0.44375,1,1,0,0,0,1,0,0,0
8,train,15000000000,1,0,3,False,True,0.6875,0.875,0.5,0.6875,0.44375,0.5249999999999999,2,2,0,0,0,1,1,0,0
8,train,15000000000,1,0,4,True,True,0.6875,0.875,0.5,0.6875,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,0,5,True,True,0.6875,0.875,0.5,0.6875,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,0,6,True,True,0.6875,0.875,0.5,0.6875,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,0,7,True,True,0.6875,0.875,0.5,0.6875,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,1,0,False,True,0.6875,0.875,0.6875,0.875,0.2,0.28125,21,21,0,0,0,7,11,3,0
8,train,15000000000,1,1,1,False,True,0.6875,0.875,0.6875,0.875,0.28125,0.3625,29,29,0,0,1,17,10,1,0
8,train,15000000000,1,1,2,False,True,0.6875,0.875,0.6875,0.875,0.3625,0.44375,15,15,0,0,2,8,5,0,0
8,train,15000000000,1,1,3,False,True,0.6875,0.875,0.6875,0.875,0.44375,0.5249999999999999,5,5,0,0,1,4,0,0,0
8,train,15000000000,1,1,4,False,True,0.6875,0.875,0.6875,0.875,0.5249999999999999,0.60625,3,3,0,0,2,1,0,0,0
8,train,15000000000,1,1,5,True,True,0.6875,0.875,0.6875,0.875,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,1,6,True,True,0.6875,0.875,0.6875,0.875,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,1,7,True,True,0.6875,0.875,0.6875,0.875,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,2,0,False,True,0.6875,0.875,0.875,1.0625,0.2,0.28125,53,53,0,0,1,23,27,2,0
8,train,15000000000,1,2,1,False,True,0.6875,0.875,0.875,1.0625,0.28125,0.3625,26,26,0,0,2,16,8,0,0
8,train,15000000000,1,2,2,False,True,0.6875,0.875,0.875,1.0625,0.3625,0.44375,17,17,0,0,4,9,4,0,0
8,train,15000000000,1,2,3,False,True,0.6875,0.875,0.875,1.0625,0.44375,0.5249999999999999,8,8,0,0,3,5,0,0,0
8,train,15000000000,1,2,4,True,True,0.6875,0.875,0.875,1.0625,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,2,5,True,True,0.6875,0.875,0.875,1.0625,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,2,6,True,True,0.6875,0.875,0.875,1.0625,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,2,7,True,True,0.6875,0.875,0.875,1.0625,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,3,0,False,True,0.6875,0.875,1.0625,1.25,0.2,0.28125,37,37,0,1,9,23,4,0,0
8,train,15000000000,1,3,1,False,True,0.6875,0.875,1.0625,1.25,0.28125,0.3625,28,28,0,1,14,13,0,0,0
8,train,15000000000,1,3,2,False,True,0.6875,0.875,1.0625,1.25,0.3625,0.44375,8,8,0,0,7,1,0,0,0
8,train,15000000000,1,3,3,True,True,0.6875,0.875,1.0625,1.25,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,3,4,True,True,0.6875,0.875,1.0625,1.25,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,3,5,True,True,0.6875,0.875,1.0625,1.25,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,3,6,True,True,0.6875,0.875,1.0625,1.25,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,3,7,True,True,0.6875,0.875,1.0625,1.25,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,4,0,False,True,0.6875,0.875,1.25,1.4375,0.2,0.28125,32,32,0,5,24,3,0,0,0
8,train,15000000000,1,4,1,False,True,0.6875,0.875,1.25,1.4375,0.28125,0.3625,6,6,0,2,4,0,0,0,0
8,train,15000000000,1,4,2,False,True,0.6875,0.875,1.25,1.4375,0.3625,0.44375,1,1,0,1,0,0,0,0,0
8,train,15000000000,1,4,3,True,True,0.6875,0.875,1.25,1.4375,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,4,4,True,True,0.6875,0.875,1.25,1.4375,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,4,5,True,True,0.6875,0.875,1.25,1.4375,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,4,6,True,True,0.6875,0.875,1.25,1.4375,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,4,7,True,True,0.6875,0.875,1.25,1.4375,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,5,0,False,True,0.6875,0.875,1.4375,1.625,0.2,0.28125,9,9,0,6,3,0,0,0,0
8,train,15000000000,1,5,1,False,True,0.6875,0.875,1.4375,1.625,0.28125,0.3625,3,3,0,1,2,0,0,0,0
8,train,15000000000,1,5,2,True,True,0.6875,0.875,1.4375,1.625,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,5,3,True,True,0.6875,0.875,1.4375,1.625,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
