request_id,frequency_ghz,model_id,dataset_scope,q_proxy,q_emx,selection_loss,N_original,N_solved,N_strict_valid,N_invalid,N_joint_hit,N_independent_solves,N_unique_s4p_sha,N_accounted_candidates,N_analytic_fail,N_gds_fail,N_drc_fail,N_emx_not_solved,N_pending
f10_qscan-HELDOUT_TRIPLE_AUDIT-000002,10,f10-d26d41688df1,FORMAL_10K,11,,,11,9,9,0,5,9,9,11,0,2,0,0,0
f20_qscan-HELDOUT_TRIPLE_AUDIT-000002,20,f20-4d6b0c6066ee,FORMAL_10K,13,,,11,9,7,2,0,9,9,11,0,2,0,0,0
f06_qscan-HELDOUT_TRIPLE_AUDIT-000002,6,f6-ba844c981dd6,FORMAL_10K,10,,,11,6,6,0,3,6,6,11,0,2,3,0,0
f07_qscan-HELDOUT_TRIPLE_AUDIT-000002,7,f7-d0ffa9b31525,FORMAL_10K,10,,,11,9,9,0,4,9,9,11,0,1,1,0,0
f08_qscan-HELDOUT_TRIPLE_AUDIT-000002,8,f8-dc2e68a2a478,FORMAL_10K,14,,,11,9,9,0,6,9,9,11,0,1,1,0,0
f09_qscan-HELDOUT_TRIPLE_AUDIT-000002,9,f9-0cd8cd2dd857,FORMAL_10K,13,12.0,0.0009579096860278555,11,11,11,0,9,11,11,11,0,0,0,0,0
