shape,seed_n,validation_targets_per_seed,forward_parameters,forward_elapsed_seconds_mean,forward_elapsed_seconds_sd,inverse_parameters,inverse_elapsed_seconds_mean,inverse_elapsed_seconds_sd,ownF_Lp_nH_mae_mean,ownF_Lp_nH_mae_sd,ownF_Lp_nH_rmse_mean,ownF_Lp_nH_rmse_sd,ownF_Ls_nH_mae_mean,ownF_Ls_nH_mae_sd,ownF_Ls_nH_rmse_mean,ownF_Ls_nH_rmse_sd,ownF_Qmin_mae_mean,ownF_Qmin_mae_sd,ownF_Qmin_rmse_mean,ownF_Qmin_rmse_sd,ownF_K_abs_mae_mean,ownF_K_abs_mae_sd,ownF_K_abs_rmse_mean,ownF_K_abs_rmse_sd,inverse_grid_joint_hit_rate_mean,inverse_grid_joint_hit_rate_sd,inverse_grid_analytical_pass_rate_mean,inverse_grid_analytical_pass_rate_sd
2x256,3,1269,69636,46.73650280564713,0.4868183486581424,69642,63.008402819590025,6.340742346525482,0.0076043302990493585,0.0004477393948304882,0.009858008901178302,0.00041357022275519817,0.00766381031740603,0.00028090416956364693,0.01015285090882206,0.0002595977137762114,0.16888326049606905,0.003924978594139377,0.23690737666544173,0.005988786714516605,0.00759061661308037,0.00020871018379508134,0.010047281125455944,0.0001645533245431229,0.9876543209876543,0.01195960329690804,0.9884423430522721,0.01273901303176481
3x128,3,1269,34948,45.24784484730723,0.34998667402001954,34954,56.2889834723901,15.311396853380915,0.0074655260330179565,0.00022594666946292992,0.00965920277617372,0.0003097230074496735,0.007337578821114929,0.00015938679228134277,0.009529842897931837,9.679164370613636e-05,0.14876849665133662,0.0011389617201826782,0.21130608950608087,0.0014209360279319428,0.006316872931497692,0.0001014637065200861,0.00850553350690797,0.00010201407728672153,0.9868662989230365,0.007893343420707508,0.9871289729445758,0.008049148119802776
3x256,3,1269,135428,48.7830358610178,4.819885252591751,135434,47.18084298601995,1.542563759544858,0.006894181425087914,0.0004746003929722777,0.00896691746643082,0.0004817456199274821,0.0069230443758376645,0.0003113952041501445,0.009098419950360818,0.00036864788553037775,0.14794904594020436,0.004366247353908761,0.20891758400339092,0.003913984059646184,0.006008995052701109,0.00016791666658992662,0.008204140304779582,0.0001931149751918919,0.9871289729445758,0.008644330271554692,0.9881796690307328,0.008189365520420235
3x512,3,1269,532996,56.21623572237635,11.704367124388858,533002,78.44839109736495,18.704116705871662,0.007626517777044708,0.0004791731822335675,0.009820716988744748,0.0006185665698708046,0.007175325187559284,8.96583705953729e-05,0.009436465666746623,0.00016603436268931973,0.1492300904804569,0.004052496481828512,0.20950701218311918,0.00525139543138943,0.006216483320166262,0.00022766235754591497,0.008380546682559893,0.00021289420465265012,0.9900183871815077,0.007150332329296674,0.990281061203047,0.006702049289295031
5x256,3,1269,267012,57.0285001390536,12.207578447255075,267018,52.2103760833464,6.208562085551189,0.00778544293835046,0.0006562511461656247,0.010028495108504657,0.0006254976448545891,0.007678367245805912,0.0004757002008556593,0.010134744617881648,0.0006185413653283675,0.15146695539112343,0.0027825633858404018,0.21272940011256142,0.004184426438875238,0.006658127943077108,0.00041303621870867696,0.008981635230805357,0.000393248123909417,0.9957972156553717,0.0016403987387439997,0.9957972156553717,0.0016403987387439997
