arm,original_proposals,matched_started_attempts,closed_physical_chains,strict_valid,core_eligible,train_core_eligible,new_train_core,occupied_before,occupied_after,newly_occupied_cells,sparse_crossed_5,native_solver_seconds,targeted_requests,targeted_strict,targeted_strict_hits
COVERAGE_DIRECTED,128,16,16,7,4,2,2,147,148,1,0,1046.78,10,2,1
GEOMETRY_DOE_CONTROL,128,16,16,10,8,4,4,147,147,0,0,1077.95,0,0,
